Username,Message,Character Count,Retweet Count,Like Count,Total Actions,Type
CompanyJ_65,Gordon Hayward had his best game of the season with 35 PTS against the Wolves ,78,1323,7356,8679,video
CompanyJ_66,Lakers fans booing Paul George at Staples via BDawsonWrites ,60,625,3369,3994,video
CompanyJ_67,NOOOOOOOO via Skubie3Mageza garystriewski ,42,3457,10084,13541,video
CompanyJ_68,Another huge game for Embiid 42 PTS 18 REBS 3 STLS 2 BLKS ,58,623,4442,5065,video
CompanyJ_69,Russ really hit Lance with the air guitar via NBATV ,52,2402,11378,13780,video
CompanyJ_70,PG is too hot this season ,26,2204,12134,14338,video
CompanyJ_71,Lonzo denies Russ Russ went 3 20 tonight and the Thunder still won ,67,1388,8875,10263,video
CompanyJ_72,Embiid put up 42 and 18 tonight ,32,499,3092,3591,photo
CompanyJ_73, Bring me The Brow ,19,3280,16713,19993,photo
CompanyJ_74,Today The champions vs the challengers ,39,173,1515,1688,photo
CompanyJ_75,The Steelers backed themselves into a no win situation again and now they have to trade AB ,91,568,3038,3606,photo
CompanyJ_76,Russ let the water cup know how he felt ,40,353,3354,3707,video
CompanyJ_77,DeAndre Hopkins pledges his playoff check to the family of Jazmine Barnes ,74,4894,21724,26618,photo
CompanyJ_78,The impossible ,15,159,1536,1695,photo
CompanyJ_79,Above the rim ,14,796,6796,7592,photo
CompanyJ_80,Brady Mahomes Luck Honey Badger isn t scared Tyrann Mathieu says there s no doubt the Texans can win the Super Bowl no matter who they face ,140,213,1028,1241,photo
CompanyJ_81,Danny Ainge on LeBron calling himself the GOAT Maybe he s taking the Donald Trump approach and trying to sell himself per 985TheSportsHub ,138,1566,6761,8327,photo
CompanyJ_82,Top 4 Western Conference All Star vote getters so far LeBron Steph D Rose Luka ,79,9914,48341,58255,photo
CompanyJ_83,Top 4 Eastern Conference All Star vote getters so far Giannis Kyrie Kawhi Embiid ,81,850,5056,5906,photo
CompanyJ_84,Rookie year Top 4 in Western Conference All Star votes ,55,1250,8733,9983,photo
CompanyJ_85,Theo Pinson couldn t believe AD s stat line ,44,549,3543,4092,video
CompanyJ_86,How did they not score via NBCSportsSoccer ,43,367,1769,2136,video
CompanyJ_87,Sergio Aguero with a DAGGER via NBCSportsSoccer ,48,428,1896,2324,video
CompanyJ_88,Some surprises in the West ,27,1074,5191,6265,photo
CompanyJ_89,Azzi Fudd the No 1 prospect in 2021 got her first scholarship offer in sixth grade She was one of the first young women ever invited to Steph Curry s SC30 Select Camp where she won the three point contest She also might be the next Maya Moore ,243,151,631,782,photo
CompanyJ_90,Brady playing WR in the playoffs via thecheckdown ,50,4211,27732,31943,video
CompanyJ_91,Hat trick vs Arsenal Equalizer vs Manchester City FIRMINO ,58,149,960,1109,photo
CompanyJ_92,Liverpool let their unbeaten streak slip to Manchester City Will they let the league slip too ,94,267,1107,1374,photo
CompanyJ_93,The Colts have some young stars on their O Line and it shows SimmsandLefkoe give Indianapolis this week s OLOTW award From B R x FordTrucks ,140,25,254,279,video
CompanyJ_94,Toronto s trade for the Klaw was a gamble when it happened Sitting atop the Eastern Conference and MVP caliber play from Kawhi it may be worth it after all ,156,76,738,814,photo
CompanyJ_95, I m coming back 100x harder amp for all the people who doubt me and hate on me keep on doing it Bol Bol to have season ending surgery on left foot and will begin rehab process for 2019 NBA draft per ShamsCharania ,214,310,1890,2200,photo
CompanyJ_96,3x Super Bowl champion 7x Pro Bowler Does Richard Seymour deserve your 2019 Pro Football Hall of Fame vote PFHOF19 FordTrucks ,126,71,538,609,video
CompanyJ_97,Danny Ainge chimes in ,22,699,3778,4477,photo
CompanyJ_98,The reigning MVP is on an absolute scoring tear Rockets vs Warriors tonight should be fun ,90,329,1950,2279,video
CompanyJ_99,Kawhi makes his return to San Antonio tonight ,46,676,4292,4968,photo
CompanyJ_100,Tony Gonzalez Champ Bailey Ed Reed and Isaac Bruce headline the 2019 Pro Football HOF finalists Full list ,106,389,1548,1937,photo
CompanyJ_101,The tribute video the Spurs really want to show ,48,1143,5422,6565,photo
CompanyJ_102,Spurs tribute video for Kawhi Leonard and Danny Green ,54,2373,11213,13586,video
CompanyJ_103,Kawhi gets booed on 1st bucket and Danny Green couldn t hold back a smile ,74,1539,7925,9464,video
CompanyJ_104,DeMar is ready for the Raptors ,31,1500,7407,8907,video
CompanyJ_105,MVP chants for DeMar after the and 1 ,37,677,4093,4770,video
CompanyJ_106,Pop does not look pleased ,26,953,6891,7844,photo
